product_id,product_name,brand,category,pack_size,unit_price,is_flavored_milk,is_single_serve,is_cooking_cream,is_nutrition_compliant,is_hot_beverage,source_system
SKU-0043,Lactel Double Cream 300ml,Lactel,Cream,300ml,3.4,false,false,true,false,false,SAP
SKU-0044,Président Brie 200g,Président,Cheese,200g,8.9,false,false,false,false,false,SAP
SKU-0045,Galbani Bocconcini 200g,Galbani,Cheese,200g,6.5,false,false,false,false,false,SAP
SKU-0046,Galbani Grana Padano 300g,Galbani,Cheese,300g,11.5,false,false,false,false,false,SAP
SKU-0047,Lactel Shredded Pizza Cheese 1kg,Lactel,Cheese,1kg,12.8,false,false,false,false,false,SAP
SKU-0048,Président Feta 200g,Président,Cheese,200g,6.2,false,false,false,false,false,SAP
SKU-0049,Galbani Grated Parmesan 250g,Galbani,Cheese,250g,7.8,false,false,false,false,false,SAP
SKU-0051,Lactel Greek Style Yogurt 500g,Lactel,Yogurt,500g,4.2,false,false,false,true,false,SAP
SKU-0052,Lactel Vanilla Yogurt 4x150g,Lactel,Yogurt,600g,5.0,false,false,false,true,false,SAP
SKU-0053,Parmalat Kids Yogurt Pouch Mango 4x70g,Parmalat,Yogurt,280g,4.2,false,false,false,true,false,SAP
SKU-0055,Lactel Pot Set Yogurt 170g,Lactel,Yogurt,170g,1.9,false,true,false,true,false,SAP
SKU-0056,Président Salted Butter 500g,Président,Butter,500g,11.5,false,false,false,false,false,SAP
SKU-0057,Lactel Spreadable Butter 500g,Lactel,Butter,500g,7.5,false,false,false,false,false,SAP
SKU-0058,Galbani Butter Unsalted 250g,Galbani,Butter,250g,5.2,false,false,false,false,false,SAP
SKU-0059,Pauls Breaka Iced Coffee 250ml,Pauls,Flavored Milk,250ml,2.0,true,true,false,false,false,SAP
SKU-0060,Lactel Hot Chocolate Sachets 10pk,Lactel,Hot Beverage,250g,4.5,false,false,false,false,true,SAP
