order_id,customer_id,product_id,order_date,quantity,line_revenue,channel,source_system
ORD-000369,CUST-0013,SKU-0006,2025-10-07,8,17.6,rep,SAP
ORD-000376,CUST-0013,SKU-0038,2026-01-11,16,88.0,rep,SAP
ORD-000383,CUST-0013,SKU-0030,2026-02-06,4,9.2,ecommerce,SAP
ORD-000388,CUST-0014,SKU-0052,2026-02-25,19,95.0,ecommerce,SAP
ORD-000394,CUST-0014,SKU-0053,2026-02-25,17,71.4,ecommerce,SAP
ORD-000400,CUST-0014,SKU-0006,2026-01-30,8,17.6,ecommerce,SAP
ORD-000404,CUST-0014,SKU-0029,2026-01-23,6,13.8,rep,SAP
ORD-000412,CUST-0014,SKU-0052,2026-05-21,11,55.0,rep,SAP
ORD-000416,CUST-0014,SKU-0049,2026-01-31,14,109.2,rep,SAP
ORD-000420,CUST-0014,SKU-0010,2026-04-16,3,17.4,ecommerce,SAP
ORD-000426,CUST-0015,SKU-0008,2026-01-03,13,27.3,ecommerce,SAP
ORD-000432,CUST-0015,SKU-0051,2025-12-01,19,79.8,rep,SAP
ORD-000433,CUST-0015,SKU-0005,2025-12-01,15,51.0,ecommerce,SAP
ORD-000443,CUST-0016,SKU-0030,2026-04-12,12,27.6,ecommerce,SAP
ORD-000447,CUST-0016,SKU-0048,2026-01-18,16,99.2,rep,SAP
ORD-000452,CUST-0016,SKU-0031,2026-02-07,20,130.0,ecommerce,SAP
ORD-000457,CUST-0016,SKU-0007,2026-04-06,9,19.8,ecommerce,SAP
ORD-000459,CUST-0016,SKU-0042,2026-08-06,4,28.8,ecommerce,SAP
ORD-000466,CUST-0016,SKU-0042,2025-08-20,10,72.0,rep,SAP
ORD-000473,CUST-0016,SKU-0022,2025-10-23,14,112.0,rep,SAP
ORD-000494,CUST-0017,SKU-0042,2025-10-02,8,57.6,ecommerce,SAP
ORD-000495,CUST-0017,SKU-0020,2025-10-02,6,84.0,rep,SAP
ORD-000510,CUST-0017,SKU-0056,2026-04-04,19,218.5,ecommerce,SAP
ORD-000513,CUST-0017,SKU-0046,2026-05-19,2,23.0,rep,SAP
ORD-000515,CUST-0017,SKU-0022,2026-05-19,1,8.0,ecommerce,SAP
ORD-000519,CUST-0018,SKU-0011,2025-10-30,19,60.8,ecommerce,SAP
ORD-000522,CUST-0018,SKU-0012,2025-08-31,19,91.2,ecommerce,SAP
ORD-000524,CUST-0018,SKU-0054,2025-08-31,8,30.4,ecommerce,SAP
ORD-000526,CUST-0018,SKU-0036,2026-04-26,11,36.3,rep,SAP
ORD-000529,CUST-0018,SKU-0036,2026-01-19,16,52.8,ecommerce,SAP
ORD-000538,CUST-0018,SKU-0016,2026-07-18,10,120.0,ecommerce,SAP
ORD-000550,CUST-0019,SKU-0014,2025-12-08,11,60.5,ecommerce,SAP
ORD-000552,CUST-0019,SKU-0028,2026-06-25,4,20.8,ecommerce,SAP
ORD-000553,CUST-0019,SKU-0048,2026-06-25,14,86.8,ecommerce,SAP
ORD-000557,CUST-0019,SKU-0020,2025-12-17,19,266.0,ecommerce,SAP
ORD-000564,CUST-0019,SKU-0014,2025-10-26,14,77.0,rep,SAP
ORD-000566,CUST-0019,SKU-0055,2025-10-18,2,3.8,rep,SAP
ORD-000579,CUST-0020,SKU-0011,2026-05-30,8,25.6,rep,SAP
ORD-000586,CUST-0020,SKU-0034,2026-02-21,9,19.8,ecommerce,SAP
ORD-000598,CUST-0020,SKU-0020,2026-06-13,1,14.0,ecommerce,SAP
ORD-000599,CUST-0020,SKU-0039,2026-04-22,4,12.8,ecommerce,SAP
ORD-000603,CUST-0020,SKU-0031,2026-03-14,13,84.5,ecommerce,SAP
ORD-000624,CUST-0021,SKU-0046,2026-06-01,4,46.0,rep,SAP
ORD-000633,CUST-0021,SKU-0018,2025-12-20,20,120.0,ecommerce,SAP
ORD-000655,CUST-0022,SKU-0012,2025-12-13,4,19.2,ecommerce,SAP
ORD-000658,CUST-0022,SKU-0002,2026-07-08,2,9.6,ecommerce,SAP
ORD-000668,CUST-0022,SKU-0040,2026-05-21,9,44.1,ecommerce,SAP
ORD-000675,CUST-0023,SKU-0008,2025-12-13,8,16.8,ecommerce,SAP
ORD-000679,CUST-0023,SKU-0014,2025-10-08,12,66.0,rep,SAP
ORD-000684,CUST-0023,SKU-0021,2026-07-26,16,115.2,ecommerce,SAP
ORD-000690,CUST-0023,SKU-0040,2026-03-19,13,63.7,rep,SAP
ORD-000704,CUST-0024,SKU-0040,2025-11-13,15,73.5,rep,SAP
ORD-000706,CUST-0024,SKU-0016,2026-01-19,13,156.0,rep,SAP
ORD-000709,CUST-0024,SKU-0022,2026-01-19,11,88.0,ecommerce,SAP
ORD-000714,CUST-0024,SKU-0018,2026-07-01,3,18.0,rep,SAP
ORD-000727,CUST-0024,SKU-0016,2025-09-19,20,240.0,rep,SAP
ORD-000730,CUST-0025,SKU-0045,2026-05-09,1,6.5,ecommerce,SAP
ORD-000733,CUST-0025,SKU-0024,2025-09-03,4,14.0,ecommerce,SAP
ORD-000739,CUST-0025,SKU-0057,2026-03-29,1,7.5,rep,SAP
ORD-000744,CUST-0025,SKU-0034,2026-07-20,5,11.0,ecommerce,SAP
ORD-000746,CUST-0025,SKU-0008,2026-05-19,6,12.6,ecommerce,SAP
ORD-000753,CUST-0025,SKU-0048,2025-10-14,8,49.6,rep,SAP
ORD-000754,CUST-0025,SKU-0005,2025-10-14,6,20.4,rep,SAP
ORD-000755,CUST-0025,SKU-0032,2025-10-14,11,39.6,rep,SAP
ORD-000763,CUST-0025,SKU-0008,2025-08-27,6,12.6,rep,SAP
ORD-000769,CUST-0025,SKU-0034,2026-03-27,19,41.8,rep,SAP
ORD-000781,CUST-0026,SKU-0015,2026-05-27,4,26.0,ecommerce,SAP
ORD-000782,CUST-0026,SKU-0055,2026-05-27,20,38.0,rep,SAP
ORD-000801,CUST-0026,SKU-0010,2026-05-02,4,23.2,rep,SAP
ORD-000812,CUST-0026,SKU-0014,2026-03-23,18,99.0,ecommerce,SAP
ORD-000813,CUST-0026,SKU-0037,2026-03-23,5,15.5,ecommerce,SAP
ORD-000818,CUST-0026,SKU-0013,2026-01-20,17,49.3,ecommerce,SAP
ORD-000823,CUST-0027,SKU-0012,2026-01-29,15,72.0,ecommerce,SAP
ORD-000827,CUST-0027,SKU-0017,2026-01-16,14,252.0,rep,SAP
ORD-000829,CUST-0027,SKU-0055,2026-01-16,10,19.0,ecommerce,SAP
ORD-000837,CUST-0027,SKU-0016,2025-08-10,17,204.0,ecommerce,SAP
ORD-000857,CUST-0028,SKU-0029,2025-11-22,13,29.9,ecommerce,SAP
ORD-000868,CUST-0028,SKU-0013,2026-03-13,15,43.5,ecommerce,SAP
ORD-000874,CUST-0029,SKU-0056,2025-09-11,4,46.0,ecommerce,SAP
ORD-000875,CUST-0029,SKU-0017,2025-09-11,13,234.0,ecommerce,SAP
ORD-000888,CUST-0029,SKU-0022,2026-06-15,14,112.0,ecommerce,SAP
ORD-000889,CUST-0029,SKU-0040,2026-07-20,18,88.2,ecommerce,SAP
ORD-000892,CUST-0029,SKU-0015,2026-07-20,5,32.5,ecommerce,SAP
ORD-000900,CUST-0029,SKU-0020,2026-01-08,5,70.0,ecommerce,SAP
ORD-000911,CUST-0030,SKU-0016,2026-03-09,19,228.0,rep,SAP
ORD-000912,CUST-0030,SKU-0032,2025-09-20,7,25.2,ecommerce,SAP
ORD-000925,CUST-0031,SKU-0014,2025-09-10,8,44.0,ecommerce,SAP
ORD-000936,CUST-0031,SKU-0021,2026-01-25,12,86.4,ecommerce,SAP
ORD-000937,CUST-0031,SKU-0019,2026-06-19,6,51.0,rep,SAP
ORD-000940,CUST-0031,SKU-0013,2026-01-16,12,34.8,ecommerce,SAP
ORD-000942,CUST-0031,SKU-0060,2026-01-16,11,49.5,ecommerce,SAP
ORD-000947,CUST-0031,SKU-0014,2026-06-19,1,5.5,ecommerce,SAP
ORD-000949,CUST-0031,SKU-0024,2026-04-25,13,45.5,ecommerce,SAP
ORD-000957,CUST-0032,SKU-0019,2025-12-24,5,42.5,ecommerce,SAP
ORD-000958,CUST-0032,SKU-0031,2025-12-24,4,26.0,ecommerce,SAP
ORD-000970,CUST-0032,SKU-0046,2026-07-26,18,207.0,rep,SAP
ORD-000978,CUST-0032,SKU-0020,2025-09-09,20,280.0,ecommerce,SAP
ORD-000988,CUST-0032,SKU-0015,2026-01-21,18,117.0,ecommerce,SAP
ORD-000989,CUST-0032,SKU-0055,2026-01-21,12,22.8,ecommerce,SAP
ORD-000991,CUST-0033,SKU-0047,2025-10-19,6,76.8,ecommerce,SAP
ORD-001008,CUST-0033,SKU-0047,2025-08-20,10,128.0,ecommerce,SAP
ORD-001019,CUST-0034,SKU-0043,2025-11-17,16,54.4,ecommerce,SAP
ORD-001022,CUST-0034,SKU-0033,2025-10-21,14,63.0,ecommerce,SAP
ORD-001029,CUST-0034,SKU-0058,2025-12-27,12,62.4,ecommerce,SAP
ORD-001035,CUST-0034,SKU-0035,2026-07-31,8,18.4,rep,SAP
ORD-001036,CUST-0034,SKU-0028,2025-10-20,1,5.2,ecommerce,SAP
ORD-001038,CUST-0034,SKU-0025,2025-10-20,18,63.0,rep,SAP
ORD-001039,CUST-0034,SKU-0026,2026-02-21,9,55.8,ecommerce,SAP
ORD-001040,CUST-0035,SKU-0011,2026-01-06,15,48.0,ecommerce,SAP
ORD-001042,CUST-0035,SKU-0060,2026-04-15,11,49.5,rep,SAP
ORD-001050,CUST-0035,SKU-0054,2026-01-14,19,72.2,ecommerce,SAP
ORD-001051,CUST-0035,SKU-0041,2026-05-19,7,31.5,ecommerce,SAP
ORD-001052,CUST-0035,SKU-0044,2026-05-19,9,80.1,ecommerce,SAP
ORD-001053,CUST-0035,SKU-0001,2026-05-19,17,76.5,ecommerce,SAP
ORD-001059,CUST-0035,SKU-0025,2025-10-12,1,3.5,ecommerce,SAP
ORD-001061,CUST-0035,SKU-0027,2026-07-27,16,67.2,rep,SAP
ORD-001062,CUST-0035,SKU-0052,2026-07-27,20,100.0,rep,SAP
ORD-001066,CUST-0035,SKU-0032,2026-04-03,14,50.4,ecommerce,SAP
ORD-001073,CUST-0036,SKU-0002,2026-04-24,16,76.8,ecommerce,SAP
ORD-001074,CUST-0036,SKU-0041,2026-04-24,12,54.0,ecommerce,SAP
ORD-001083,CUST-0036,SKU-0025,2026-02-21,2,7.0,ecommerce,SAP
ORD-001085,CUST-0036,SKU-0025,2026-02-21,16,56.0,ecommerce,SAP
ORD-001086,CUST-0037,SKU-0044,2026-01-07,2,17.8,ecommerce,SAP
ORD-001104,CUST-0037,SKU-0035,2026-06-16,4,9.2,ecommerce,SAP
ORD-001108,CUST-0037,SKU-0051,2026-06-11,16,67.2,rep,SAP
ORD-001113,CUST-0037,SKU-0043,2026-03-15,8,27.2,ecommerce,SAP
ORD-001114,CUST-0037,SKU-0036,2026-02-04,9,29.7,rep,SAP
ORD-001116,CUST-0037,SKU-0051,2026-04-27,20,84.0,ecommerce,SAP
ORD-001120,CUST-0037,SKU-0050,2025-11-18,1,3.5,ecommerce,SAP
ORD-001123,CUST-0037,SKU-0027,2025-11-18,14,58.8,rep,SAP
ORD-001125,CUST-0038,SKU-0001,2026-07-22,11,49.5,ecommerce,SAP
ORD-001130,CUST-0038,SKU-0032,2026-07-21,13,46.8,rep,SAP
ORD-001133,CUST-0038,SKU-0059,2025-08-21,10,20.0,rep,SAP
ORD-001136,CUST-0038,SKU-0059,2025-08-21,19,38.0,ecommerce,SAP
ORD-001147,CUST-0038,SKU-0010,2026-04-12,19,110.2,ecommerce,SAP
ORD-001149,CUST-0038,SKU-0044,2026-01-10,10,89.0,ecommerce,SAP
ORD-001157,CUST-0038,SKU-0016,2026-06-19,19,228.0,ecommerce,SAP
ORD-001158,CUST-0038,SKU-0044,2026-06-19,2,17.8,ecommerce,SAP
ORD-001165,CUST-0039,SKU-0024,2026-01-19,14,49.0,ecommerce,SAP
ORD-001167,CUST-0039,SKU-0025,2025-08-16,17,59.5,ecommerce,SAP
ORD-001174,CUST-0039,SKU-0057,2025-10-17,11,82.5,ecommerce,SAP
ORD-001177,CUST-0039,SKU-0047,2025-10-17,6,76.8,ecommerce,SAP
ORD-001183,CUST-0039,SKU-0027,2025-11-13,8,33.6,rep,SAP
ORD-001184,CUST-0039,SKU-0044,2025-11-13,7,62.3,ecommerce,SAP
ORD-001188,CUST-0039,SKU-0024,2026-07-27,14,49.0,ecommerce,SAP
ORD-001207,CUST-0040,SKU-0044,2025-11-14,11,97.9,ecommerce,SAP
ORD-001208,CUST-0040,SKU-0001,2025-11-14,8,36.0,ecommerce,SAP
ORD-001213,CUST-0040,SKU-0002,2025-11-29,16,76.8,rep,SAP
ORD-001214,CUST-0040,SKU-0027,2025-11-29,13,54.6,ecommerce,SAP
ORD-001219,CUST-0041,SKU-0003,2026-07-08,15,58.5,ecommerce,SAP
ORD-001220,CUST-0041,SKU-0052,2026-07-11,20,100.0,rep,SAP
ORD-001222,CUST-0041,SKU-0001,2026-02-14,20,90.0,ecommerce,SAP
ORD-001224,CUST-0041,SKU-0055,2026-02-14,17,32.3,rep,SAP
ORD-001228,CUST-0041,SKU-0042,2026-07-03,2,14.4,ecommerce,SAP
ORD-001229,CUST-0041,SKU-0041,2026-07-03,7,31.5,ecommerce,SAP
ORD-001255,CUST-0042,SKU-0044,2026-03-09,8,71.2,ecommerce,SAP
ORD-001256,CUST-0042,SKU-0047,2026-04-15,3,38.4,ecommerce,SAP
ORD-001257,CUST-0042,SKU-0033,2026-04-15,20,90.0,rep,SAP
ORD-001258,CUST-0042,SKU-0043,2026-04-15,14,47.6,ecommerce,SAP
ORD-001259,CUST-0042,SKU-0041,2026-04-15,2,9.0,ecommerce,SAP
ORD-001266,CUST-0042,SKU-0026,2025-10-04,16,99.2,rep,SAP
ORD-001277,CUST-0042,SKU-0044,2026-05-11,12,106.8,ecommerce,SAP
ORD-001278,CUST-0042,SKU-0025,2026-05-11,18,63.0,rep,SAP
ORD-001280,CUST-0042,SKU-0003,2026-05-25,6,23.4,ecommerce,SAP
ORD-001293,CUST-0043,SKU-0003,2025-11-19,10,39.0,ecommerce,SAP
ORD-001301,CUST-0043,SKU-0005,2026-04-20,14,47.6,rep,SAP
ORD-001315,CUST-0044,SKU-0043,2026-03-08,4,13.6,ecommerce,SAP
ORD-001319,CUST-0044,SKU-0001,2026-03-04,2,9.0,ecommerce,SAP
ORD-001328,CUST-0044,SKU-0024,2026-05-05,12,42.0,rep,SAP
ORD-001330,CUST-0044,SKU-0060,2026-01-20,16,72.0,rep,SAP
ORD-001333,CUST-0044,SKU-0030,2026-07-17,6,13.8,rep,SAP
ORD-001334,CUST-0044,SKU-0002,2026-07-17,7,33.6,ecommerce,SAP
ORD-001335,CUST-0044,SKU-0041,2026-07-17,1,4.5,ecommerce,SAP
ORD-001343,CUST-0044,SKU-0032,2026-01-14,12,43.2,rep,SAP
ORD-001344,CUST-0044,SKU-0001,2026-01-14,13,58.5,ecommerce,SAP
ORD-001355,CUST-0045,SKU-0013,2026-03-29,1,2.9,ecommerce,SAP
ORD-001356,CUST-0045,SKU-0026,2025-09-28,2,12.4,ecommerce,SAP
ORD-001359,CUST-0045,SKU-0042,2025-10-22,13,93.6,rep,SAP
ORD-001364,CUST-0045,SKU-0056,2026-04-14,18,207.0,ecommerce,SAP
ORD-001380,CUST-0046,SKU-0018,2026-05-14,1,6.0,ecommerce,SAP
ORD-001387,CUST-0046,SKU-0035,2025-12-29,17,39.1,ecommerce,SAP
ORD-001388,CUST-0046,SKU-0003,2026-04-30,14,54.6,rep,SAP
ORD-001392,CUST-0046,SKU-0041,2026-03-12,1,4.5,ecommerce,SAP
ORD-001397,CUST-0046,SKU-0059,2025-10-14,18,36.0,rep,SAP
ORD-001407,CUST-0046,SKU-0024,2026-04-04,6,21.0,ecommerce,SAP
ORD-001409,CUST-0047,SKU-0048,2026-02-27,13,80.6,ecommerce,SAP
ORD-001424,CUST-0047,SKU-0009,2025-08-13,11,104.5,ecommerce,SAP
ORD-001431,CUST-0047,SKU-0002,2026-05-20,20,96.0,ecommerce,SAP
ORD-001440,CUST-0047,SKU-0032,2025-10-21,3,10.8,rep,SAP
ORD-001464,CUST-0048,SKU-0018,2026-01-25,16,96.0,ecommerce,SAP
ORD-001465,CUST-0048,SKU-0046,2026-01-25,3,34.5,rep,SAP
ORD-001473,CUST-0048,SKU-0002,2026-05-09,12,57.6,ecommerce,SAP
ORD-001474,CUST-0048,SKU-0004,2026-05-09,12,38.4,ecommerce,SAP
ORD-001475,CUST-0048,SKU-0009,2026-05-09,10,95.0,ecommerce,SAP
ORD-001479,CUST-0048,SKU-0002,2026-05-16,3,14.4,ecommerce,SAP
ORD-001484,CUST-0048,SKU-0018,2026-03-11,3,18.0,ecommerce,SAP
ORD-001486,CUST-0048,SKU-0036,2026-03-11,20,66.0,rep,SAP
ORD-001500,CUST-0049,SKU-0011,2026-07-06,13,41.6,ecommerce,SAP
ORD-001506,CUST-0049,SKU-0037,2026-03-21,16,49.6,ecommerce,SAP
ORD-001507,CUST-0049,SKU-0021,2026-03-21,15,108.0,ecommerce,SAP
ORD-001508,CUST-0049,SKU-0056,2026-01-14,9,103.5,rep,SAP
ORD-001519,CUST-0050,SKU-0013,2026-03-09,2,5.8,ecommerce,SAP
ORD-001523,CUST-0050,SKU-0017,2026-03-09,11,198.0,ecommerce,SAP
ORD-001528,CUST-0050,SKU-0024,2026-07-20,12,42.0,ecommerce,SAP
ORD-001533,CUST-0050,SKU-0060,2026-03-18,4,18.0,rep,SAP
ORD-001537,CUST-0050,SKU-0008,2025-10-04,12,25.2,rep,SAP
ORD-001543,CUST-0050,SKU-0011,2026-01-25,19,60.8,ecommerce,SAP
ORD-001545,CUST-0050,SKU-0054,2026-02-22,19,72.2,rep,SAP
ORD-001550,CUST-0051,SKU-0040,2025-12-18,8,39.2,rep,SAP
ORD-001553,CUST-0051,SKU-0013,2026-02-16,3,8.7,ecommerce,SAP
ORD-001561,CUST-0051,SKU-0017,2026-06-17,9,162.0,ecommerce,SAP
ORD-001563,CUST-0051,SKU-0017,2026-04-26,6,108.0,ecommerce,SAP
ORD-001568,CUST-0051,SKU-0037,2025-11-17,10,31.0,ecommerce,SAP
ORD-001582,CUST-0051,SKU-0032,2025-09-11,4,14.4,rep,SAP
ORD-001583,CUST-0051,SKU-0015,2025-09-11,1,6.5,ecommerce,SAP
ORD-001588,CUST-0051,SKU-0057,2025-10-07,19,142.5,rep,SAP
ORD-001595,CUST-0052,SKU-0046,2026-01-28,15,172.5,ecommerce,SAP
ORD-001609,CUST-0052,SKU-0020,2026-06-20,6,84.0,ecommerce,SAP
ORD-001616,CUST-0053,SKU-0058,2026-05-13,17,88.4,rep,SAP
ORD-001620,CUST-0053,SKU-0056,2026-05-29,17,195.5,ecommerce,SAP
ORD-001621,CUST-0053,SKU-0048,2026-05-29,19,117.8,ecommerce,SAP
ORD-001622,CUST-0053,SKU-0040,2026-05-29,17,83.3,rep,SAP
ORD-001623,CUST-0053,SKU-0037,2025-10-08,12,37.2,ecommerce,SAP
ORD-001630,CUST-0053,SKU-0017,2025-09-03,8,144.0,ecommerce,SAP
ORD-001638,CUST-0053,SKU-0034,2026-01-14,5,11.0,ecommerce,SAP
ORD-001640,CUST-0053,SKU-0015,2026-03-31,2,13.0,ecommerce,SAP
ORD-001643,CUST-0053,SKU-0040,2026-03-31,5,24.5,ecommerce,SAP
ORD-001649,CUST-0053,SKU-0054,2026-03-19,1,3.8,ecommerce,SAP
ORD-001658,CUST-0053,SKU-0023,2026-07-03,13,175.5,ecommerce,SAP
ORD-001659,CUST-0053,SKU-0039,2026-04-11,6,19.2,ecommerce,SAP
ORD-001663,CUST-0054,SKU-0050,2026-04-07,8,28.0,ecommerce,SAP
ORD-001671,CUST-0054,SKU-0042,2026-06-29,17,122.4,ecommerce,SAP
ORD-001677,CUST-0054,SKU-0040,2025-10-26,4,19.6,ecommerce,SAP
ORD-001679,CUST-0054,SKU-0004,2025-11-17,5,16.0,ecommerce,SAP
ORD-001680,CUST-0054,SKU-0019,2025-11-17,8,68.0,ecommerce,SAP
ORD-001681,CUST-0054,SKU-0019,2025-11-17,12,102.0,rep,SAP
ORD-001685,CUST-0054,SKU-0052,2026-06-09,7,35.0,ecommerce,SAP
ORD-001687,CUST-0054,SKU-0013,2026-02-16,4,11.6,ecommerce,SAP
ORD-001690,CUST-0054,SKU-0035,2025-09-05,19,43.7,ecommerce,SAP
ORD-001697,CUST-0054,SKU-0022,2026-03-05,4,32.0,ecommerce,SAP
ORD-001712,CUST-0055,SKU-0018,2025-08-11,20,120.0,ecommerce,SAP
ORD-001716,CUST-0055,SKU-0017,2025-12-01,9,162.0,ecommerce,SAP
ORD-001724,CUST-0055,SKU-0003,2025-11-25,5,19.5,ecommerce,SAP
ORD-001727,CUST-0055,SKU-0055,2025-11-25,11,20.9,ecommerce,SAP
ORD-001728,CUST-0055,SKU-0014,2026-01-04,15,82.5,ecommerce,SAP
ORD-001731,CUST-0055,SKU-0009,2025-09-15,18,171.0,ecommerce,SAP
ORD-001733,CUST-0056,SKU-0021,2025-10-06,19,136.8,ecommerce,SAP
ORD-001735,CUST-0056,SKU-0012,2025-11-16,5,24.0,rep,SAP
ORD-001736,CUST-0056,SKU-0009,2025-08-19,17,161.5,rep,SAP
ORD-001738,CUST-0056,SKU-0012,2026-08-06,2,9.6,ecommerce,SAP
ORD-001743,CUST-0056,SKU-0060,2026-02-17,19,85.5,ecommerce,SAP
ORD-001750,CUST-0056,SKU-0037,2025-08-27,15,46.5,ecommerce,SAP
ORD-001752,CUST-0056,SKU-0017,2025-08-27,4,72.0,rep,SAP
ORD-001773,CUST-0057,SKU-0022,2026-06-17,12,96.0,ecommerce,SAP
ORD-001775,CUST-0057,SKU-0014,2026-06-17,18,99.0,rep,SAP
ORD-001779,CUST-0057,SKU-0037,2025-12-23,1,3.1,ecommerce,SAP
