dc_id,product_id,on_hand_units,threshold_units,in_stock,source_system
DC-005,SKU-0043,139,23,true,SAP
DC-002,SKU-0047,272,27,true,SAP
DC-006,SKU-0048,463,43,true,SAP
DC-004,SKU-0057,431,41,true,SAP
DC-006,SKU-0003,179,43,true,SAP
DC-006,SKU-0017,302,23,true,SAP
DC-001,SKU-0024,495,43,true,SAP
DC-004,SKU-0031,180,31,true,SAP
DC-005,SKU-0051,82,13,true,SAP
DC-003,SKU-0055,162,50,true,SAP
DC-004,SKU-0010,399,21,true,SAP
DC-001,SKU-0018,118,35,true,SAP
DC-002,SKU-0052,88,15,true,SAP
DC-002,SKU-0055,75,33,true,SAP
DC-001,SKU-0060,153,32,true,SAP
DC-004,SKU-0004,183,50,true,SAP
DC-003,SKU-0009,231,33,true,SAP
DC-002,SKU-0016,96,16,true,SAP
DC-005,SKU-0029,497,13,true,SAP
DC-004,SKU-0008,92,39,true,SAP
DC-005,SKU-0023,359,14,true,SAP
DC-004,SKU-0030,247,19,true,SAP
DC-002,SKU-0035,73,23,true,SAP
DC-004,SKU-0049,447,27,true,SAP
DC-001,SKU-0054,77,39,true,SAP
DC-001,SKU-0057,355,18,true,SAP
DC-003,SKU-0057,334,15,true,SAP
DC-001,SKU-0014,394,31,true,SAP
DC-006,SKU-0027,432,12,true,SAP
DC-006,SKU-0037,256,48,true,SAP
DC-002,SKU-0042,256,46,true,SAP
DC-003,SKU-0048,296,37,true,SAP
DC-002,SKU-0051,391,42,true,SAP
DC-006,SKU-0005,254,27,true,SAP
DC-002,SKU-0009,249,20,true,SAP
DC-002,SKU-0010,419,33,true,SAP
DC-005,SKU-0014,172,23,true,SAP
DC-005,SKU-0015,252,24,true,SAP
DC-002,SKU-0033,368,23,true,SAP
DC-005,SKU-0033,109,25,true,SAP
DC-001,SKU-0041,208,46,true,SAP
DC-005,SKU-0054,496,47,true,SAP
DC-001,SKU-0011,392,15,true,SAP
DC-001,SKU-0032,310,45,true,SAP
DC-006,SKU-0038,475,45,true,SAP
DC-006,SKU-0039,324,33,true,SAP
DC-005,SKU-0042,408,11,true,SAP
DC-003,SKU-0046,224,11,true,SAP
DC-001,SKU-0047,328,19,true,SAP
DC-002,SKU-0006,394,14,true,SAP
DC-004,SKU-0011,0,10,false,SAP
DC-002,SKU-0014,69,28,true,SAP
DC-005,SKU-0025,149,20,true,SAP
DC-003,SKU-0027,406,28,true,SAP
DC-003,SKU-0032,342,16,true,SAP
DC-003,SKU-0037,415,38,true,SAP
DC-004,SKU-0042,258,49,true,SAP
DC-002,SKU-0043,377,17,true,SAP
DC-005,SKU-0044,235,25,true,SAP
DC-005,SKU-0008,497,12,true,SAP
DC-005,SKU-0013,288,49,true,SAP
DC-006,SKU-0023,463,17,true,SAP
DC-006,SKU-0024,253,43,true,SAP
DC-001,SKU-0008,270,23,true,SAP
DC-006,SKU-0041,200,19,true,SAP
DC-006,SKU-0057,472,40,true,SAP
DC-004,SKU-0020,470,11,true,SAP
DC-001,SKU-0023,250,33,true,SAP
DC-002,SKU-0041,366,22,true,SAP
DC-006,SKU-0047,258,50,true,SAP
DC-005,SKU-0052,221,11,true,SAP
DC-001,SKU-0058,246,13,true,SAP
DC-001,SKU-0004,0,10,false,SAP
DC-002,SKU-0013,315,21,true,SAP
DC-006,SKU-0013,475,13,true,SAP
DC-003,SKU-0022,471,48,true,SAP
DC-005,SKU-0027,324,36,true,SAP
DC-006,SKU-0054,276,36,true,SAP
DC-006,SKU-0060,484,20,true,SAP
DC-003,SKU-0005,314,22,true,SAP
DC-006,SKU-0014,160,23,true,SAP
DC-002,SKU-0015,149,43,true,SAP
DC-004,SKU-0027,116,43,true,SAP
DC-002,SKU-0032,143,37,true,SAP
DC-003,SKU-0012,308,11,true,SAP
DC-006,SKU-0016,288,17,true,SAP
DC-002,SKU-0019,304,30,true,SAP
DC-002,SKU-0029,109,18,true,SAP
DC-004,SKU-0048,100,19,true,SAP
DC-004,SKU-0051,250,34,true,SAP
DC-002,SKU-0012,467,43,true,SAP
DC-001,SKU-0015,441,32,true,SAP
DC-006,SKU-0036,461,28,true,SAP
DC-004,SKU-0046,331,19,true,SAP
DC-001,SKU-0048,87,23,true,SAP
DC-001,SKU-0002,488,49,true,SAP
DC-001,SKU-0027,89,15,true,SAP
DC-006,SKU-0043,208,45,true,SAP
DC-004,SKU-0054,317,22,true,SAP
DC-004,SKU-0056,121,35,true,SAP
DC-005,SKU-0057,421,50,true,SAP
DC-001,SKU-0005,330,40,true,SAP
DC-002,SKU-0005,305,25,true,SAP
DC-005,SKU-0005,320,14,true,SAP
DC-001,SKU-0026,160,48,true,SAP
DC-002,SKU-0039,438,48,true,SAP
DC-003,SKU-0053,381,27,true,SAP
DC-003,SKU-0060,289,44,true,SAP
DC-003,SKU-0040,177,19,true,SAP
DC-002,SKU-0036,360,13,true,SAP
DC-001,SKU-0042,447,37,true,SAP
DC-001,SKU-0055,371,19,true,SAP
DC-002,SKU-0060,255,16,true,SAP
DC-003,SKU-0006,122,35,true,SAP
DC-004,SKU-0007,174,36,true,SAP
DC-003,SKU-0018,165,12,true,SAP
DC-004,SKU-0028,171,41,true,SAP
DC-001,SKU-0029,315,16,true,SAP
DC-002,SKU-0030,253,48,true,SAP
DC-006,SKU-0031,468,37,true,SAP
DC-005,SKU-0038,495,28,true,SAP
DC-001,SKU-0007,380,29,true,SAP
DC-004,SKU-0018,258,12,true,SAP
DC-003,SKU-0023,118,13,true,SAP
DC-002,SKU-0037,143,11,true,SAP
DC-003,SKU-0047,97,45,true,SAP
DC-005,SKU-0047,243,32,true,SAP
DC-006,SKU-0058,318,44,true,SAP
DC-005,SKU-0004,425,26,true,SAP
DC-003,SKU-0010,224,44,true,SAP
DC-003,SKU-0021,115,48,true,SAP
DC-006,SKU-0052,74,14,true,SAP
DC-002,SKU-0057,226,11,true,SAP
DC-001,SKU-0059,184,14,true,SAP
DC-005,SKU-0001,156,25,true,SAP
DC-001,SKU-0016,462,16,true,SAP
DC-002,SKU-0031,101,21,true,SAP
DC-001,SKU-0043,129,35,true,SAP
DC-002,SKU-0044,316,48,true,SAP
DC-005,SKU-0048,442,22,true,SAP
DC-003,SKU-0001,370,40,true,SAP
DC-005,SKU-0007,437,18,true,SAP
DC-005,SKU-0024,165,24,true,SAP
DC-006,SKU-0040,60,42,true,SAP
DC-003,SKU-0045,478,28,true,SAP
DC-006,SKU-0045,389,17,true,SAP
DC-002,SKU-0048,57,45,true,SAP
DC-006,SKU-0001,260,48,true,SAP
DC-006,SKU-0010,493,11,true,SAP
DC-001,SKU-0012,312,46,true,SAP
DC-003,SKU-0014,401,50,true,SAP
DC-001,SKU-0019,439,42,true,SAP
DC-001,SKU-0038,411,46,true,SAP
DC-001,SKU-0053,242,43,true,SAP
DC-003,SKU-0003,83,13,true,SAP
DC-003,SKU-0011,207,36,true,SAP
DC-002,SKU-0021,107,45,true,SAP
DC-005,SKU-0021,175,34,true,SAP
DC-001,SKU-0022,376,41,true,SAP
DC-003,SKU-0025,350,18,true,SAP
DC-006,SKU-0035,391,33,true,SAP
DC-003,SKU-0036,309,33,true,SAP
DC-004,SKU-0045,473,10,true,SAP
DC-003,SKU-0050,189,50,true,SAP
DC-003,SKU-0052,392,22,true,SAP
DC-003,SKU-0002,366,32,true,SAP
DC-005,SKU-0012,424,16,true,SAP
DC-006,SKU-0022,398,23,true,SAP
DC-004,SKU-0032,298,50,true,SAP
DC-003,SKU-0035,169,33,true,SAP
DC-005,SKU-0035,77,16,true,SAP
DC-003,SKU-0041,139,22,true,SAP
DC-006,SKU-0050,294,24,true,SAP
DC-001,SKU-0051,50,10,true,SAP
DC-005,SKU-0053,372,48,true,SAP
DC-003,SKU-0054,491,50,true,SAP
DC-002,SKU-0003,144,18,true,SAP
DC-006,SKU-0008,470,34,true,SAP
DC-004,SKU-0014,79,28,true,SAP
DC-004,SKU-0024,326,28,true,SAP
DC-001,SKU-0033,379,19,true,SAP
DC-004,SKU-0036,339,47,true,SAP
DC-004,SKU-0060,90,39,true,SAP
