customer_id,product_id,reorder_frequency_days,last_ordered_date,source_system
CUST-0032,SKU-0013,110,2026-07-26,Salesforce
CUST-0047,SKU-0028,172,2026-07-23,Salesforce
CUST-0053,SKU-0023,83,2026-07-03,Salesforce
CUST-0055,SKU-0016,101,2025-11-25,Salesforce
CUST-0060,SKU-0046,53,2026-08-04,Salesforce
CUST-0064,SKU-0034,62,2026-05-22,Salesforce
CUST-0003,SKU-0031,167,2026-03-26,Salesforce
CUST-0005,SKU-0030,145,2026-07-28,Salesforce
CUST-0009,SKU-0039,19,2025-11-19,Salesforce
CUST-0018,SKU-0014,261,2026-07-18,Salesforce
CUST-0026,SKU-0022,87,2026-05-02,Salesforce
CUST-0038,SKU-0028,21,2026-07-19,Salesforce
CUST-0047,SKU-0045,240,2026-06-01,Salesforce
CUST-0028,SKU-0060,78,2025-11-22,Salesforce
CUST-0036,SKU-0041,62,2026-04-24,Salesforce
CUST-0040,SKU-0033,168,2026-02-18,Salesforce
CUST-0068,SKU-0041,89,2026-04-24,Salesforce
CUST-0071,SKU-0026,185,2026-05-02,Salesforce
CUST-0076,SKU-0001,20,2026-07-30,Salesforce
CUST-0018,SKU-0054,30,2025-10-30,Salesforce
CUST-0019,SKU-0018,52,2025-12-17,Salesforce
CUST-0024,SKU-0040,97,2026-05-26,Salesforce
CUST-0041,SKU-0028,94,2026-07-03,Salesforce
CUST-0043,SKU-0035,1,2025-11-19,Salesforce
CUST-0052,SKU-0023,167,2026-06-20,Salesforce
CUST-0004,SKU-0050,62,2026-05-20,Salesforce
CUST-0008,SKU-0049,73,2026-04-30,Salesforce
CUST-0027,SKU-0021,80,2026-01-29,Salesforce
CUST-0043,SKU-0047,16,2026-02-15,Salesforce
CUST-0038,SKU-0043,9,2026-06-28,Salesforce
CUST-0058,SKU-0016,139,2026-05-13,Salesforce
CUST-0076,SKU-0044,0,2026-06-16,Salesforce
CUST-0025,SKU-0037,99,2026-03-13,Salesforce
CUST-0039,SKU-0057,0,2025-10-17,Salesforce
CUST-0055,SKU-0017,64,2026-02-03,Salesforce
CUST-0072,SKU-0044,117,2026-06-03,Salesforce
CUST-0016,SKU-0050,116,2026-08-06,Salesforce
CUST-0053,SKU-0034,85,2026-07-03,Salesforce
CUST-0069,SKU-0001,91,2025-12-07,Salesforce
CUST-0070,SKU-0017,128,2026-04-15,Salesforce
CUST-0075,SKU-0035,90,2025-12-01,Salesforce
CUST-0008,SKU-0010,35,2025-11-26,Salesforce
CUST-0010,SKU-0042,90,2026-03-11,Salesforce
CUST-0019,SKU-0057,25,2025-12-08,Salesforce
CUST-0033,SKU-0025,94,2026-05-30,Salesforce
CUST-0050,SKU-0017,71,2026-03-16,Salesforce
CUST-0071,SKU-0022,250,2026-06-24,Salesforce
CUST-0012,SKU-0028,93,2026-06-29,Salesforce
CUST-0021,SKU-0045,67,2026-05-15,Salesforce
CUST-0045,SKU-0028,0,2026-04-14,Salesforce
CUST-0073,SKU-0055,132,2026-07-13,Salesforce
CUST-0006,SKU-0029,91,2026-04-01,Salesforce
CUST-0021,SKU-0013,107,2026-03-30,Salesforce
CUST-0030,SKU-0040,69,2026-08-02,Salesforce
CUST-0037,SKU-0051,45,2026-06-11,Salesforce
CUST-0053,SKU-0021,61,2026-04-11,Salesforce
CUST-0071,SKU-0020,77,2025-11-07,Salesforce
CUST-0074,SKU-0030,228,2026-06-27,Salesforce
CUST-0010,SKU-0030,0,2026-01-20,Salesforce
CUST-0041,SKU-0001,121,2026-02-14,Salesforce
CUST-0043,SKU-0033,85,2026-07-14,Salesforce
CUST-0067,SKU-0059,65,2026-01-30,Salesforce
CUST-0067,SKU-0013,66,2026-02-14,Salesforce
CUST-0069,SKU-0026,32,2026-04-15,Salesforce
CUST-0074,SKU-0060,125,2025-12-22,Salesforce
CUST-0017,SKU-0056,153,2026-04-04,Salesforce
CUST-0030,SKU-0020,73,2026-07-29,Salesforce
CUST-0044,SKU-0060,78,2026-04-08,Salesforce
CUST-0056,SKU-0060,53,2026-02-17,Salesforce
CUST-0067,SKU-0037,33,2025-10-05,Salesforce
CUST-0004,SKU-0010,54,2025-10-26,Salesforce
CUST-0032,SKU-0020,106,2026-07-26,Salesforce
CUST-0040,SKU-0027,81,2026-02-18,Salesforce
CUST-0067,SKU-0024,166,2026-03-20,Salesforce
CUST-0001,SKU-0029,192,2026-05-15,Salesforce
CUST-0031,SKU-0046,27,2026-02-12,Salesforce
CUST-0040,SKU-0028,28,2025-12-12,Salesforce
CUST-0044,SKU-0032,148,2026-06-11,Salesforce
CUST-0053,SKU-0017,151,2026-07-03,Salesforce
CUST-0064,SKU-0013,63,2026-06-07,Salesforce
CUST-0071,SKU-0040,238,2026-06-24,Salesforce
CUST-0072,SKU-0028,145,2026-07-28,Salesforce
CUST-0002,SKU-0039,85,2026-02-21,Salesforce
CUST-0015,SKU-0051,19,2025-12-01,Salesforce
CUST-0021,SKU-0056,130,2026-05-15,Salesforce
CUST-0046,SKU-0035,0,2025-12-29,Salesforce
CUST-0062,SKU-0045,116,2026-01-20,Salesforce
CUST-0065,SKU-0023,109,2026-07-17,Salesforce
CUST-0010,SKU-0022,76,2026-08-06,Salesforce
CUST-0019,SKU-0048,190,2026-06-25,Salesforce
CUST-0028,SKU-0013,75,2026-07-06,Salesforce
CUST-0030,SKU-0011,111,2026-08-02,Salesforce
CUST-0036,SKU-0059,129,2026-07-07,Salesforce
CUST-0066,SKU-0060,29,2026-05-18,Salesforce
CUST-0067,SKU-0048,48,2025-09-21,Salesforce
CUST-0022,SKU-0046,67,2026-06-21,Salesforce
CUST-0043,SKU-0002,160,2026-07-14,Salesforce
CUST-0044,SKU-0033,141,2026-06-10,Salesforce
CUST-0049,SKU-0017,18,2026-01-14,Salesforce
CUST-0061,SKU-0055,37,2026-07-07,Salesforce
CUST-0066,SKU-0034,44,2026-05-18,Salesforce
CUST-0071,SKU-0016,32,2026-07-26,Salesforce
CUST-0004,SKU-0051,52,2026-03-31,Salesforce
CUST-0024,SKU-0015,141,2026-07-01,Salesforce
CUST-0027,SKU-0040,21,2026-02-19,Salesforce
CUST-0034,SKU-0035,138,2026-07-31,Salesforce
CUST-0050,SKU-0048,89,2026-07-20,Salesforce
CUST-0058,SKU-0014,204,2026-04-08,Salesforce
CUST-0068,SKU-0034,79,2026-01-03,Salesforce
CUST-0014,SKU-0007,13,2026-02-25,Salesforce
CUST-0033,SKU-0003,43,2025-10-08,Salesforce
CUST-0057,SKU-0043,81,2026-01-07,Salesforce
CUST-0062,SKU-0012,52,2026-03-03,Salesforce
CUST-0062,SKU-0014,62,2026-03-23,Salesforce
CUST-0072,SKU-0003,235,2026-06-03,Salesforce
CUST-0079,SKU-0060,74,2026-07-29,Salesforce
CUST-0001,SKU-0050,74,2026-05-12,Salesforce
CUST-0014,SKU-0052,77,2026-07-30,Salesforce
CUST-0063,SKU-0002,115,2026-07-02,Salesforce
CUST-0002,SKU-0021,277,2026-07-17,Salesforce
CUST-0009,SKU-0052,212,2026-06-19,Salesforce
CUST-0013,SKU-0005,11,2025-10-18,Salesforce
CUST-0022,SKU-0060,321,2026-06-28,Salesforce
CUST-0031,SKU-0018,19,2026-01-25,Salesforce
CUST-0033,SKU-0047,30,2025-10-19,Salesforce
CUST-0046,SKU-0003,106,2026-05-14,Salesforce
CUST-0021,SKU-0014,11,2026-06-01,Salesforce
CUST-0023,SKU-0055,61,2026-04-14,Salesforce
CUST-0031,SKU-0021,127,2026-05-27,Salesforce
CUST-0039,SKU-0059,117,2026-08-02,Salesforce
CUST-0039,SKU-0024,141,2026-07-27,Salesforce
CUST-0080,SKU-0057,35,2026-06-05,Salesforce
CUST-0006,SKU-0031,87,2026-05-29,Salesforce
CUST-0013,SKU-0051,67,2026-02-19,Salesforce
CUST-0023,SKU-0014,162,2026-03-19,Salesforce
CUST-0045,SKU-0001,105,2026-07-10,Salesforce
CUST-0049,SKU-0019,37,2026-01-14,Salesforce
CUST-0057,SKU-0031,33,2026-01-01,Salesforce
CUST-0059,SKU-0020,0,2025-12-26,Salesforce
CUST-0077,SKU-0047,53,2025-09-13,Salesforce
CUST-0008,SKU-0058,197,2026-04-30,Salesforce
CUST-0009,SKU-0058,54,2025-12-16,Salesforce
CUST-0017,SKU-0016,65,2026-06-08,Salesforce
CUST-0023,SKU-0022,66,2025-12-13,Salesforce
CUST-0037,SKU-0059,83,2026-06-11,Salesforce
CUST-0049,SKU-0015,58,2026-02-05,Salesforce
CUST-0078,SKU-0020,136,2026-06-30,Salesforce
CUST-0005,SKU-0049,191,2026-05-03,Salesforce
CUST-0014,SKU-0006,7,2026-01-30,Salesforce
CUST-0026,SKU-0013,76,2026-05-07,Salesforce
CUST-0069,SKU-0055,34,2026-04-07,Salesforce
CUST-0078,SKU-0022,87,2026-06-26,Salesforce
CUST-0079,SKU-0020,70,2026-05-16,Salesforce
CUST-0005,SKU-0009,68,2026-08-07,Salesforce
CUST-0007,SKU-0038,155,2026-06-25,Salesforce
CUST-0016,SKU-0009,52,2026-04-12,Salesforce
CUST-0019,SKU-0014,40,2026-01-15,Salesforce
CUST-0028,SKU-0015,94,2025-12-13,Salesforce
CUST-0031,SKU-0019,84,2026-07-03,Salesforce
CUST-0038,SKU-0047,0,2026-07-21,Salesforce
CUST-0047,SKU-0032,47,2026-03-13,Salesforce
CUST-0074,SKU-0041,156,2026-06-27,Salesforce
CUST-0008,SKU-0050,156,2026-07-17,Salesforce
CUST-0018,SKU-0048,307,2026-07-18,Salesforce
CUST-0025,SKU-0016,18,2025-08-27,Salesforce
CUST-0027,SKU-0019,172,2026-01-29,Salesforce
CUST-0029,SKU-0021,131,2026-01-20,Salesforce
CUST-0042,SKU-0043,40,2026-05-25,Salesforce
CUST-0060,SKU-0048,77,2026-07-24,Salesforce
CUST-0073,SKU-0021,3,2026-07-16,Salesforce
CUST-0010,SKU-0050,59,2026-08-04,Salesforce
CUST-0011,SKU-0049,213,2026-05-21,Salesforce
CUST-0025,SKU-0019,94,2026-05-19,Salesforce
CUST-0029,SKU-0040,80,2026-07-20,Salesforce
CUST-0045,SKU-0025,45,2026-05-29,Salesforce
CUST-0048,SKU-0033,21,2026-04-03,Salesforce
CUST-0056,SKU-0037,121,2025-12-26,Salesforce
CUST-0020,SKU-0048,0,2026-02-15,Salesforce
CUST-0075,SKU-0020,116,2025-12-27,Salesforce
CUST-0030,SKU-0016,170,2026-03-09,Salesforce
CUST-0054,SKU-0017,18,2026-06-29,Salesforce
CUST-0064,SKU-0020,65,2026-01-31,Salesforce
CUST-0077,SKU-0034,0,2026-04-11,Salesforce
CUST-0020,SKU-0018,90,2026-07-21,Salesforce
CUST-0034,SKU-0025,20,2025-10-20,Salesforce
CUST-0039,SKU-0001,117,2026-05-16,Salesforce
CUST-0051,SKU-0040,90,2026-06-17,Salesforce
CUST-0075,SKU-0043,116,2026-03-02,Salesforce
CUST-0077,SKU-0043,6,2026-07-06,Salesforce
CUST-0079,SKU-0041,90,2026-01-01,Salesforce
CUST-0020,SKU-0037,33,2026-04-28,Salesforce
CUST-0042,SKU-0033,55,2026-04-15,Salesforce
CUST-0052,SKU-0015,25,2025-09-03,Salesforce
CUST-0056,SKU-0015,0,2025-08-27,Salesforce
CUST-0070,SKU-0045,43,2025-12-08,Salesforce
CUST-0074,SKU-0023,61,2026-02-19,Salesforce
CUST-0080,SKU-0033,19,2025-10-10,Salesforce
CUST-0009,SKU-0030,70,2026-04-09,Salesforce
CUST-0023,SKU-0012,201,2026-05-09,Salesforce
CUST-0027,SKU-0016,90,2026-02-07,Salesforce
CUST-0035,SKU-0026,49,2026-06-16,Salesforce
CUST-0042,SKU-0021,122,2026-04-26,Salesforce
CUST-0050,SKU-0054,90,2026-07-20,Salesforce
CUST-0062,SKU-0046,91,2026-02-24,Salesforce
CUST-0064,SKU-0045,198,2026-05-26,Salesforce
CUST-0078,SKU-0005,180,2026-06-26,Salesforce
CUST-0079,SKU-0044,229,2026-07-29,Salesforce
CUST-0028,SKU-0012,24,2026-07-06,Salesforce
CUST-0033,SKU-0036,132,2026-07-11,Salesforce
CUST-0051,SKU-0014,108,2026-07-22,Salesforce
CUST-0057,SKU-0055,81,2026-03-29,Salesforce
CUST-0062,SKU-0020,178,2026-03-03,Salesforce
CUST-0073,SKU-0041,55,2026-07-16,Salesforce
CUST-0002,SKU-0042,22,2026-02-21,Salesforce
CUST-0002,SKU-0050,61,2026-07-10,Salesforce
CUST-0037,SKU-0002,76,2026-07-05,Salesforce
CUST-0050,SKU-0008,17,2025-10-21,Salesforce
CUST-0066,SKU-0055,91,2026-02-26,Salesforce
CUST-0080,SKU-0059,78,2026-06-29,Salesforce
CUST-0017,SKU-0054,100,2026-07-15,Salesforce
CUST-0029,SKU-0018,159,2026-07-27,Salesforce
CUST-0030,SKU-0022,17,2026-08-02,Salesforce
CUST-0031,SKU-0058,155,2026-02-12,Salesforce
CUST-0045,SKU-0009,62,2026-05-29,Salesforce
CUST-0005,SKU-0058,94,2026-08-07,Salesforce
CUST-0032,SKU-0055,117,2026-01-21,Salesforce
CUST-0051,SKU-0017,38,2026-07-11,Salesforce
CUST-0078,SKU-0041,35,2025-12-23,Salesforce
CUST-0006,SKU-0005,55,2025-12-06,Salesforce
CUST-0007,SKU-0050,0,2026-05-02,Salesforce
CUST-0036,SKU-0025,31,2026-05-25,Salesforce
CUST-0052,SKU-0054,7,2026-01-11,Salesforce
CUST-0078,SKU-0059,77,2026-05-16,Salesforce
CUST-0003,SKU-0042,261,2026-06-14,Salesforce
CUST-0004,SKU-0007,30,2025-11-14,Salesforce
CUST-0034,SKU-0021,90,2025-12-27,Salesforce
CUST-0034,SKU-0028,86,2026-01-14,Salesforce
CUST-0036,SKU-0035,88,2026-04-17,Salesforce
CUST-0040,SKU-0001,96,2026-02-18,Salesforce
CUST-0042,SKU-0025,65,2026-07-18,Salesforce
CUST-0055,SKU-0055,112,2026-07-08,Salesforce
CUST-0076,SKU-0016,60,2025-11-29,Salesforce
CUST-0010,SKU-0053,53,2026-03-11,Salesforce
CUST-0018,SKU-0040,72,2026-01-23,Salesforce
CUST-0046,SKU-0043,44,2026-04-04,Salesforce
CUST-0049,SKU-0011,314,2026-07-06,Salesforce
CUST-0061,SKU-0057,133,2026-07-07,Salesforce
CUST-0014,SKU-0009,27,2026-04-16,Salesforce
CUST-0017,SKU-0020,0,2025-10-02,Salesforce
CUST-0020,SKU-0019,126,2026-04-08,Salesforce
CUST-0022,SKU-0019,7,2026-06-28,Salesforce
CUST-0035,SKU-0033,45,2026-07-27,Salesforce
CUST-0051,SKU-0015,139,2026-06-17,Salesforce
CUST-0072,SKU-0026,147,2026-01-25,Salesforce
CUST-0073,SKU-0027,94,2026-07-07,Salesforce
CUST-0077,SKU-0016,17,2026-08-04,Salesforce
CUST-0011,SKU-0029,62,2026-05-06,Salesforce
CUST-0024,SKU-0012,0,2026-01-17,Salesforce
CUST-0044,SKU-0047,89,2026-07-17,Salesforce
CUST-0068,SKU-0018,0,2025-12-01,Salesforce
CUST-0006,SKU-0010,19,2025-12-08,Salesforce
CUST-0024,SKU-0054,28,2025-11-13,Salesforce
CUST-0025,SKU-0034,115,2026-07-20,Salesforce
CUST-0035,SKU-0027,101,2026-07-27,Salesforce
CUST-0038,SKU-0003,134,2026-01-02,Salesforce
CUST-0041,SKU-0003,48,2026-07-08,Salesforce
CUST-0048,SKU-0027,106,2026-06-27,Salesforce
CUST-0066,SKU-0041,86,2026-06-12,Salesforce
CUST-0075,SKU-0032,318,2026-07-17,Salesforce
CUST-0001,SKU-0008,7,2026-01-10,Salesforce
CUST-0003,SKU-0051,50,2026-05-23,Salesforce
CUST-0012,SKU-0002,62,2026-06-29,Salesforce
CUST-0021,SKU-0018,46,2026-02-04,Salesforce
CUST-0046,SKU-0027,96,2026-04-04,Salesforce
CUST-0048,SKU-0002,21,2026-05-16,Salesforce
CUST-0052,SKU-0012,0,2026-01-11,Salesforce
CUST-0058,SKU-0046,89,2026-05-02,Salesforce
CUST-0076,SKU-0017,61,2025-11-30,Salesforce
CUST-0022,SKU-0056,84,2026-07-08,Salesforce
CUST-0037,SKU-0028,0,2026-03-25,Salesforce
CUST-0042,SKU-0026,156,2026-03-09,Salesforce
CUST-0052,SKU-0049,60,2026-01-28,Salesforce
CUST-0053,SKU-0040,17,2026-05-29,Salesforce
CUST-0059,SKU-0057,103,2026-02-27,Salesforce
CUST-0063,SKU-0015,48,2026-04-28,Salesforce
CUST-0007,SKU-0042,55,2026-07-07,Salesforce
CUST-0013,SKU-0049,134,2026-07-02,Salesforce
CUST-0024,SKU-0016,40,2026-01-19,Salesforce
CUST-0047,SKU-0047,0,2026-02-27,Salesforce
CUST-0048,SKU-0041,33,2026-05-16,Salesforce
CUST-0002,SKU-0010,102,2025-12-15,Salesforce
CUST-0017,SKU-0040,55,2026-06-08,Salesforce
CUST-0037,SKU-0027,145,2026-04-12,Salesforce
CUST-0038,SKU-0059,0,2025-08-21,Salesforce
CUST-0041,SKU-0026,130,2026-07-03,Salesforce
CUST-0048,SKU-0001,42,2026-05-16,Salesforce
CUST-0059,SKU-0011,34,2026-01-24,Salesforce
CUST-0069,SKU-0037,151,2026-07-06,Salesforce
CUST-0012,SKU-0038,127,2026-07-05,Salesforce
CUST-0026,SKU-0017,142,2026-06-18,Salesforce
CUST-0036,SKU-0002,56,2026-04-24,Salesforce
CUST-0056,SKU-0040,153,2026-04-24,Salesforce
CUST-0060,SKU-0011,83,2026-08-06,Salesforce
CUST-0065,SKU-0016,108,2026-06-11,Salesforce
CUST-0007,SKU-0008,62,2026-07-07,Salesforce
CUST-0012,SKU-0009,77,2026-07-05,Salesforce
CUST-0015,SKU-0031,74,2025-12-01,Salesforce
CUST-0016,SKU-0031,71,2026-02-07,Salesforce
CUST-0018,SKU-0017,194,2026-08-05,Salesforce
CUST-0034,SKU-0047,68,2025-12-27,Salesforce
CUST-0069,SKU-0054,3,2026-04-07,Salesforce
CUST-0070,SKU-0043,130,2026-04-17,Salesforce
CUST-0015,SKU-0050,39,2025-12-01,Salesforce
CUST-0070,SKU-0041,127,2026-06-27,Salesforce
CUST-0035,SKU-0016,47,2025-10-12,Salesforce
CUST-0039,SKU-0025,156,2026-01-19,Salesforce
CUST-0040,SKU-0041,0,2026-06-20,Salesforce
CUST-0065,SKU-0059,36,2026-07-17,Salesforce
CUST-0070,SKU-0018,4,2025-12-12,Salesforce
CUST-0079,SKU-0057,31,2026-06-16,Salesforce
CUST-0001,SKU-0042,101,2026-04-03,Salesforce
CUST-0022,SKU-0057,283,2026-05-21,Salesforce
CUST-0045,SKU-0043,196,2026-03-11,Salesforce
CUST-0049,SKU-0020,57,2026-07-06,Salesforce
CUST-0054,SKU-0018,199,2026-06-29,Salesforce
CUST-0011,SKU-0051,128,2026-05-21,Salesforce
CUST-0013,SKU-0006,11,2025-10-18,Salesforce
CUST-0020,SKU-0054,23,2026-04-09,Salesforce
CUST-0028,SKU-0055,113,2026-03-15,Salesforce
CUST-0056,SKU-0021,80,2025-10-06,Salesforce
CUST-0059,SKU-0016,34,2026-02-27,Salesforce
CUST-0061,SKU-0018,255,2026-06-25,Salesforce
CUST-0068,SKU-0002,137,2026-04-24,Salesforce
CUST-0080,SKU-0019,102,2026-03-26,Salesforce
CUST-0005,SKU-0005,128,2026-07-28,Salesforce
CUST-0016,SKU-0042,175,2026-08-06,Salesforce
CUST-0047,SKU-0002,280,2026-05-20,Salesforce
CUST-0064,SKU-0037,167,2026-05-22,Salesforce
CUST-0065,SKU-0024,0,2026-08-04,Salesforce
CUST-0001,SKU-0053,75,2026-04-03,Salesforce
CUST-0003,SKU-0039,0,2025-10-10,Salesforce
CUST-0011,SKU-0042,8,2026-05-21,Salesforce
CUST-0054,SKU-0046,0,2026-02-05,Salesforce
CUST-0059,SKU-0037,39,2026-02-27,Salesforce
CUST-0060,SKU-0019,122,2026-08-06,Salesforce
CUST-0065,SKU-0044,94,2026-08-04,Salesforce
CUST-0072,SKU-0036,186,2026-08-05,Salesforce
CUST-0032,SKU-0015,118,2026-07-26,Salesforce
CUST-0033,SKU-0044,180,2026-02-22,Salesforce
CUST-0044,SKU-0024,27,2026-05-05,Salesforce
CUST-0046,SKU-0041,49,2026-03-12,Salesforce
CUST-0063,SKU-0056,53,2026-04-02,Salesforce
CUST-0080,SKU-0017,62,2026-06-05,Salesforce
CUST-0012,SKU-0016,77,2026-01-08,Salesforce
CUST-0015,SKU-0005,40,2025-12-01,Salesforce
CUST-0051,SKU-0012,145,2026-07-25,Salesforce
CUST-0054,SKU-0057,63,2026-06-09,Salesforce
CUST-0055,SKU-0056,286,2026-05-24,Salesforce
CUST-0061,SKU-0017,105,2026-04-24,Salesforce
CUST-0068,SKU-0026,13,2025-12-27,Salesforce
CUST-0074,SKU-0020,70,2026-03-11,Salesforce
